Name,formula,charge,Curation of Metabolite Formula
10fthf_c,C20H21N7O7,-2,Preserved from Nmb_iTM560
12dgr120_c,C27H52O5,0,Preserved from Nmb_iTM560
12dgr120_p,C27H52O5,0,Preserved from Nmb_iTM560
12dgr140_c,C31H60O5,0,Preserved from Nmb_iTM560
12dgr140_p,C31H60O5,0,Preserved from Nmb_iTM560
12dgr141_c,C31H56O5,0,Preserved from Nmb_iTM560
12dgr141_p,C31H56O5,0,Preserved from Nmb_iTM560
12dgr160_c,C35H68O5,0,Preserved from Nmb_iTM560
12dgr160_p,C35H68O5,0,Preserved from Nmb_iTM560
12dgr161_c,C35H64O5,0,Preserved from Nmb_iTM560
12dgr161_p,C35H64O5,0,Preserved from Nmb_iTM560
12dgr180_c,C39H76O5,0,Preserved from Nmb_iTM560
12dgr180_p,C39H76O5,0,Preserved from Nmb_iTM560
12dgr181_c,C39H72O5,0,Preserved from Nmb_iTM560
12dgr181_p,C39H72O5,0,Preserved from Nmb_iTM560
13dpg_c,C3H4O10P2,-4,Preserved from Nmb_iTM560
15dap_e,C5H16N2,2,Preserved from Nmb_iTM560
15dap_p,C5H16N2,2,Preserved from Nmb_iTM560
1ddecg3p_c,C15H29O7P1,-2,Preserved from Nmb_iTM560
1hdec9eg3p_c,C19H35O7P1,-2,Added to iNgo_558 from BIGG
1hdecg3p_c,C19H37O7P1,-2,Preserved from Nmb_iTM560
1hdect9eg3p_c,C19H35O7P1,-2,Preserved from Nmb_iTM560
1odec11eg3p_c,C21H39O7P,-2,Added to iNgo_558 from BIGG
1odec7eg3p_c,C21H39O7P1,-2,Preserved from Nmb_iTM560
1odecg3p_c,C21H41O7P1,-2,Preserved from Nmb_iTM560
1p3h5c_c,C5H7NO3,0,Preserved from Nmb_iTM560
1p3h5c_e,C5H7NO3,0,Preserved from Nmb_iTM560
1pyr5c_c,C5H6NO2,-1,Preserved from Nmb_iTM560
1tdec7eg3p_c,C17H31O7P1,-2,Preserved from Nmb_iTM560
1tdecg3p_c,C17H33O7P1,-2,Preserved from Nmb_iTM560
23dhdp_c,C7H5NO4,-2,Preserved from Nmb_iTM560
23dhmb_c,C5H9O4,-1,Preserved from Nmb_iTM560
23dhmp_c,C6H11O4,-1,Preserved from Nmb_iTM560
25aics_c,C13H15N4O12P,-4,Preserved from Nmb_iTM560
25drapp_c,C9H14N5O8P,-2,Preserved from Nmb_iTM560
26dap_LL_c,C7H14N2O4,0,Preserved from Nmb_iTM560
26dap_M_c,C7H14N2O4,0,Preserved from Nmb_iTM560
2agpe120_c,C17H36NO7P1,0,Preserved from Nmb_iTM560
2agpe120_p,C17H36NO7P1,0,Preserved from Nmb_iTM560
2agpe140_c,C19H40NO7P1,0,Preserved from Nmb_iTM560
2agpe140_p,C19H40NO7P1,0,Preserved from Nmb_iTM560
2agpe141_c,C19H38NO7P1,0,Preserved from Nmb_iTM560
2agpe141_p,C19H38NO7P1,0,Preserved from Nmb_iTM560
2agpe160_c,C21H44NO7P1,0,Preserved from Nmb_iTM560
2agpe160_p,C21H44NO7P1,0,Preserved from Nmb_iTM560
2agpe161_c,C21H42NO7P1,0,Preserved from Nmb_iTM560
2agpe161_p,C21H42NO7P1,0,Preserved from Nmb_iTM560
2agpe180_c,C23H48NO7P1,0,Preserved from Nmb_iTM560
2agpe180_p,C23H48NO7P1,0,Preserved from Nmb_iTM560
2agpe181_c,C23H46NO7P1,0,Preserved from Nmb_iTM560
2agpe181_p,C23H46NO7P1,0,Preserved from Nmb_iTM560
2agpg120_c,C18H36O9P1,-1,Preserved from Nmb_iTM560
2agpg120_p,C18H36O9P1,-1,Preserved from Nmb_iTM560
2agpg140_c,C20H40O9P1,-1,Preserved from Nmb_iTM560
2agpg140_p,C20H40O9P1,-1,Preserved from Nmb_iTM560
2agpg141_c,C20H38O9P1,-1,Preserved from Nmb_iTM560
2agpg141_p,C20H38O9P1,-1,Preserved from Nmb_iTM560
2agpg160_c,C22H44O9P1,-1,Preserved from Nmb_iTM560
2agpg160_p,C22H44O9P1,-1,Preserved from Nmb_iTM560
2agpg161_c,C22H42O9P1,-1,Preserved from Nmb_iTM560
2agpg161_p,C22H42O9P1,-1,Preserved from Nmb_iTM560
2agpg180_c,C24H48O9P1,-1,Preserved from Nmb_iTM560
2agpg180_p,C24H48O9P1,-1,Preserved from Nmb_iTM560
2agpg181_c,C24H46O9P1,-1,Preserved from Nmb_iTM560
2agpg181_p,C24H46O9P1,-1,Preserved from Nmb_iTM560
2ahbut_c,C6H9O4,-1,Preserved from Nmb_iTM560
2amsa_c,C3H5NO3,0,Preserved from Nmb_iTM560
2aobut_c,C4H7NO3,0,Preserved from Nmb_iTM560
2cpr5p_c,C12H13NO9P,-3,Preserved from Nmb_iTM560
2dda7p_c,C7H10O10P,-3,Preserved from Nmb_iTM560
2ddecg3p_c,C15H30O7P1,-1,Preserved from Nmb_iTM560
2ddecg3p_p,C15H30O7P1,-1,Preserved from Nmb_iTM560
2ddg6p_c,C6H8O9P,-3,Preserved from Nmb_iTM560
2ddglcn_e,C6H9O6,-1,Preserved from Nmb_iTM560
2ddglcn_p,C6H9O6,-1,Preserved from Nmb_iTM560
2dh3dgal6p_c,C6H8O9P,-3,Preserved from Nmb_iTM560
2dhp_c,C6H9O4,-1,Preserved from Nmb_iTM560
2hdecg3p_c,C19H38O7P1,-1,Preserved from Nmb_iTM560
2hdecg3p_p,C19H38O7P1,-1,Preserved from Nmb_iTM560
2hdect9g3p_c,C19H36O7P1,-1,Preserved from Nmb_iTM560
2hdect9g3p_p,C19H36O7P1,-1,Preserved from Nmb_iTM560
2ippm_c,C7H8O4,-2,Preserved from Nmb_iTM560
2mahmp_c,C6H8N3O7P2,-3,Preserved from Nmb_iTM560
2mcit_c,C7H7O7,-3,Preserved from Nmb_iTM560
2me4p_c,C5H11O7P,-2,Preserved from Nmb_iTM560
2mecdp_c,C5H10O9P2,-2,Preserved from Nmb_iTM560
2obut_c,C4H5O3,-1,Preserved from Nmb_iTM560
2odec7eg3p_c,C21H40O7P1,-1,Preserved from Nmb_iTM560
2odec7eg3p_p,C21H40O7P1,-1,Preserved from Nmb_iTM560
2odecg3p_c,C21H42O7P1,-1,Preserved from Nmb_iTM560
2odecg3p_p,C21H42O7P1,-1,Preserved from Nmb_iTM560
2ohph_c,C46H70O2,0,Preserved from Nmb_iTM560
2ombzl_c,C47H72O3,0,Preserved from Nmb_iTM560
2omhmbl_c,C48H74O4,0,Preserved from Nmb_iTM560
2ommbl_c,C48H74O3,0,Preserved from Nmb_iTM560
2omph_c,C47H72O2,0,Preserved from Nmb_iTM560
2oph_c,C46H70O,0,Preserved from Nmb_iTM560
2p4c2me_c,C14H22N3O17P3,-4,Preserved from Nmb_iTM560
2pg_c,C3H4O7P,-3,Preserved from Nmb_iTM560
2pglyc_c,C2H2O6P,-3,Preserved from Nmb_iTM560
2tdec7eg3p_c,C17H32O7P1,-1,Preserved from Nmb_iTM560
2tdec7eg3p_p,C17H32O7P1,-1,Preserved from Nmb_iTM560
2tdecg3p_c,C17H34O7P1,-1,Preserved from Nmb_iTM560
2tdecg3p_p,C17H34O7P1,-1,Preserved from Nmb_iTM560
34dhpac_e,C8H8O3,0,Preserved from Nmb_iTM560
34dhpac_p,C8H8O3,0,Preserved from Nmb_iTM560
34dhpha_c,C8H7O4,0,Added to iNgo_558 from BIGG
34hpp_c,C9H7O4,-1,Preserved from Nmb_iTM560
3amp_e,C10H12N5O7P,-2,Preserved from Nmb_iTM560
3amp_p,C10H12N5O7P,-2,Preserved from Nmb_iTM560
3c2hmp_c,C7H10O5,-2,Preserved from Nmb_iTM560
3c3hmp_c,C7H10O5,-2,Preserved from Nmb_iTM560
3c4mop_c,C7H8O5,-2,Preserved from Nmb_iTM560
3cmp_e,C9H12N3O8P,-2,Preserved from Nmb_iTM560
3cmp_p,C9H12N3O8P,-2,Preserved from Nmb_iTM560
3dhq_c,C7H9O6,-1,Preserved from Nmb_iTM560
3dhsk_c,C7H7O5,-1,Preserved from Nmb_iTM560
3haACP_c,C15H27N2O9PRS,-1,Preserved from Nmb_iTM560
3hcddec5eACP_c,C23H41N2O9PRS,-1,Preserved from Nmb_iTM560
3hcinnm_e,C9H7O3,-1,Preserved from Nmb_iTM560
3hcinnm_p,C9H7O3,-1,Preserved from Nmb_iTM560
3hcmrs7eACP_c,C25H45N2O9PRS,-1,Preserved from Nmb_iTM560
3hcpalm5eACP_c,C27H49N2O9PRS,-1,Added to iNgo_558 from BIGG
3hcpalm9eACP_c,C27H49N2O9PRS,-1,Preserved from Nmb_iTM560
3hcvac7eACP_c,C29H53N2O9PRS,-1,Preserved from Nmb_iTM560
3hddecACP_c,C23H43N2O9PRS,-1,Preserved from Nmb_iTM560
3hdecACP_c,C21H39N2O9PRS,-1,Preserved from Nmb_iTM560
3hhexACP_c,C17H31N2O9PRS,-1,Preserved from Nmb_iTM560
3hmrsACP_c,C25H47N2O9PRS,-1,Preserved from Nmb_iTM560
3hoctaACP_c,C29H55N2O9PRS,-1,Preserved from Nmb_iTM560
3hoctACP_c,C19H35N2O9PRS,-1,Preserved from Nmb_iTM560
3hpalmACP_c,C27H51N2O9PRS,-1,Preserved from Nmb_iTM560
3hpppn_e,C9H9O3,-1,Preserved from Nmb_iTM560
3hpppn_p,C9H9O3,-1,Preserved from Nmb_iTM560
3ig3p_c,C11H12NO6P,-2,Preserved from Nmb_iTM560
3mob_c,C5H7O3,-1,Preserved from Nmb_iTM560
3mop_c,C6H9O3,-1,Preserved from Nmb_iTM560
3ocddec5eACP_c,C23H39N2O9PRS,-1,Preserved from Nmb_iTM560
3ocmrs7eACP_c,C25H43N2O9PRS,-1,Preserved from Nmb_iTM560
3ocpalm5eACP_c,C27H47N2O9PRS,-1,Preserved from Nmb_iTM560
3ocpalm9eACP_c,C27H47N2O9PRS,-1,Preserved from Nmb_iTM560
3ocvac7eACP_c,C29H51N2O9PRS,-1,Preserved from Nmb_iTM560
3oddecACP_c,C23H41N2O9PRS,-1,Preserved from Nmb_iTM560
3odecACP_c,C21H37N2O9PRS,-1,Preserved from Nmb_iTM560
3ohexACP_c,C17H29N2O9PRS,-1,Preserved from Nmb_iTM560
3omrsACP_c,C25H45N2O9PRS,-1,Preserved from Nmb_iTM560
3ooctACP_c,C19H33N2O9PRS,-1,Preserved from Nmb_iTM560
3ooctdACP_c,C29H53N2O9PRS,-1,Preserved from Nmb_iTM560
3opalmACP_c,C27H49N2O9PRS,-1,Preserved from Nmb_iTM560
3ophb_c,C47H69O3,-1,Preserved from Nmb_iTM560
3pg_c,C3H4O7P,-3,Preserved from Nmb_iTM560
3php_c,C3H2O7P,-3,Preserved from Nmb_iTM560
3psme_c,C10H9O10P,-4,Preserved from Nmb_iTM560
3ump_e,C9H11N2O9P,-2,Preserved from Nmb_iTM560
3ump_p,C9H11N2O9P,-2,Preserved from Nmb_iTM560
4abut_e,C4H9NO2,0,Preserved from Nmb_iTM560
4abut_p,C4H9NO2,0,Preserved from Nmb_iTM560
4abz_c,C7H6NO2,-1,Preserved from Nmb_iTM560
4adcho_c,C10H10NO5,-1,Preserved from Nmb_iTM560
4ahmmp_c,C6H9N3O,0,Preserved from Nmb_iTM560
4ampm_c,C6H8N3O4P,-2,Preserved from Nmb_iTM560
4c2me_c,C14H23N3O14P2,-2,Preserved from Nmb_iTM560
4h2oglt_c,C5H4O6,-2,Changed from Nmb_iTM560
4hba_c,C7H8O2,0,Preserved from Nmb_iTM560
4hbz_c,C7H5O3,-1,Preserved from Nmb_iTM560
4hoxpacd_e,C8H8O2,0,Preserved from Nmb_iTM560
4hoxpacd_p,C8H8O2,0,Preserved from Nmb_iTM560
4hphac_c,C8H7O3,0,Added to iNgo_558 from BIGG
4hpro_LT_c,C5H9NO3,0,Preserved from Nmb_iTM560
4hthr_c,C4H9NO4,0,Preserved from Nmb_iTM560
4mop_c,C6H9O3,-1,Preserved from Nmb_iTM560
4mpetz_c,C6H8NO4PS,-2,Preserved from Nmb_iTM560
4pasp_c,C4H6NO7P,-2,Preserved from Nmb_iTM560
4per_c,C4H6O8P,-3,Preserved from Nmb_iTM560
4ppan_c,C9H15NO8P,-3,Preserved from Nmb_iTM560
4ppcys_c,C12H20N2O9PS,-3,Preserved from Nmb_iTM560
4r5au_c,C9H16N4O6,0,Preserved from Nmb_iTM560
5aizc_c,C9H11N3O9P,-3,Preserved from Nmb_iTM560
5aop_c,C5H9NO3,0,Preserved from Nmb_iTM560
5aprbu_c,C9H15N4O9P,-2,Preserved from Nmb_iTM560
5apru_c,C9H13N4O9P,-2,Preserved from Nmb_iTM560
5caiz_c,C9H11N3O9P,-3,Preserved from Nmb_iTM560
5dglcn_e,C6H9O7,-1,Preserved from Nmb_iTM560
5dglcn_p,C6H9O7,-1,Preserved from Nmb_iTM560
5drib_c,C5H10O4,0,Preserved from Nmb_iTM560
5fthf_c,C20H21N7O7,-2,Added to iNgo_558 from BIGG
5mcsn_c,C5H7N3O,0,Added to iNgo_558 from BIGG
5mta_c,C11H15N5O3S,0,Preserved from Nmb_iTM560
5mthf_c,C20H23N7O6,-2,Added to iNgo_558 from BIGG
5mtr_c,C6H12O4S,0,Preserved from Nmb_iTM560
6hmhpt_c,C7H9N5O2,0,Preserved from Nmb_iTM560
6hmhptpp_c,C7H8N5O8P2,-3,Preserved from Nmb_iTM560
6pgc_c,C6H10O10P,-3,Preserved from Nmb_iTM560
6pgl_c,C6H9O9P,-2,Preserved from Nmb_iTM560
6pthp_c,C9H11N5O3,0,Added to iNgo_558 from BIGG
8aonn_c,C9H17NO3,0,Preserved from Nmb_iTM560
ac_c,C2H3O2,-1,Preserved from Nmb_iTM560
ac_e,C2H3O2,-1,Preserved from Nmb_iTM560
ac_p,C2H3O2,-1,Preserved from Nmb_iTM560
acac_e,C4H5O3,-1,Preserved from Nmb_iTM560
acac_p,C4H5O3,-1,Preserved from Nmb_iTM560
acACP_c,C13H23N2O8PRS,-1,Preserved from Nmb_iTM560
acald_c,C2H4O,0,Preserved from Nmb_iTM560
accoa_c,C23H34N7O17P3S,-4,Preserved from Nmb_iTM560
acg5p_c,C7H9NO8P,-3,Preserved from Nmb_iTM560
acg5sa_c,C7H10NO4,-1,Preserved from Nmb_iTM560
acgal_e,C8H15NO6,0,Preserved from Nmb_iTM560
acgal_p,C8H15NO6,0,Preserved from Nmb_iTM560
acgam_c,C8H15NO6,0,Preserved from Nmb_iTM560
acgam_e,C8H15NO6,0,Preserved from Nmb_iTM560
acgam_p,C8H15NO6,0,Preserved from Nmb_iTM560
acgam1p_c,C8H14NO9P,-2,Preserved from Nmb_iTM560
acgam1p_e,C8H14NO9P,-2,Preserved from Nmb_iTM560
acgam1p_p,C8H14NO9P,-2,Preserved from Nmb_iTM560
acglu_c,C7H9NO5,-2,Preserved from Nmb_iTM560
achms_c,C6H11NO4,0,Preserved from Nmb_iTM560
acmana_e,C8H15NO6,0,Preserved from Nmb_iTM560
acmana_p,C8H15NO6,0,Preserved from Nmb_iTM560
acmum_e,C11H18NO8,-1,Preserved from Nmb_iTM560
acmum_p,C11H18NO8,-1,Preserved from Nmb_iTM560
acmum6p_c,C11H17NO11P,-3,Preserved from Nmb_iTM560
acon_C_c,C6H3O6,-3,Preserved from Nmb_iTM560
acon_T_c,C6H3O6,-3,Preserved from Nmb_iTM560
acorn_c,C7H14N2O3,0,Preserved from Nmb_iTM560
ACP_c,C11H21N2O7PRS,-1,Preserved from Nmb_iTM560
acser_c,C5H9NO4,0,Preserved from Nmb_iTM560
acser_e,C5H9NO4,0,Preserved from Nmb_iTM560
acser_p,C5H9NO4,0,Preserved from Nmb_iTM560
actACP_c,C15H25N2O9PRS,-1,Preserved from Nmb_iTM560
actn__R_c,C4H8O2,0,Added to iNgo_558 from BIGG
actp_c,C2H3O5P,-2,Preserved from Nmb_iTM560
ade_c,C5H5N5,0,Preserved from Nmb_iTM560
ade_e,C5H5N5,0,Preserved from Nmb_iTM560
ade_p,C5H5N5,0,Preserved from Nmb_iTM560
adn_c,C10H13N5O4,0,Preserved from Nmb_iTM560
adp_c,C10H12N5O10P2,-3,Preserved from Nmb_iTM560
adphep_DD_c,C17H25N5O16P2,-2,Preserved from Nmb_iTM560
adphep_LD_c,C17H25N5O16P2,-2,Preserved from Nmb_iTM560
ag_c,Ag,1,Preserved from Nmb_iTM560
ag_e,Ag,1,Preserved from Nmb_iTM560
agm_c,C5H16N4,2,Preserved from Nmb_iTM560
agm_e,C5H16N4,2,Preserved from Nmb_iTM560
agm_p,C5H16N4,2,Preserved from Nmb_iTM560
ahcys_c,C14H20N6O5S,0,Preserved from Nmb_iTM560
ahdt_c,C9H12N5O13P3,-4,Preserved from Nmb_iTM560
aicar_c,C9H13N4O8P,-2,Preserved from Nmb_iTM560
air_c,C8H12N3O7P,-2,Preserved from Nmb_iTM560
akg_c,C5H4O5,-2,Preserved from Nmb_iTM560
akg_e,C5H4O5,-2,Preserved from Nmb_iTM560
akg_p,C5H4O5,-2,Preserved from Nmb_iTM560
ala_B_c,C3H7NO2,0,Preserved from Nmb_iTM560
ala_B_e,C3H7NO2,0,Preserved from Nmb_iTM560
ala_B_p,C3H7NO2,0,Preserved from Nmb_iTM560
ala_D_c,C3H7NO2,0,Preserved from Nmb_iTM560
ala_D_e,C3H7NO2,0,Preserved from Nmb_iTM560
ala_D_p,C3H7NO2,0,Preserved from Nmb_iTM560
ala_L_c,C3H7NO2,0,Preserved from Nmb_iTM560
ala_L_e,C3H7NO2,0,Preserved from Nmb_iTM560
ala_L_p,C3H7NO2,0,Preserved from Nmb_iTM560
alaala_c,C6H12N2O3,0,Preserved from Nmb_iTM560
